Case,Date,SimpleDate,Year,Month,Day,Time,Hour,Minute,Street1,FullAddress,DisFm,Geo,Street2,P1,P1_icon,P1_marker,P2,P2_icon,P3,Primary,Inj,Fatal,HR,PP,Neighborhood,ViolationCode,ViolationTitle
91063827,"Sat., Mar. 28,2009",20090328,2009,3,28,9:15 AM,9,15,5th,"5th and Market, San Francisco, CA",24,S,Market,BICYCLE,bike1,small_green,AUTO,car,,21453A,1,0,NO,,Downtown,21453A,Circular Red or Red Arrow
90751235,"Sat., Mar. 28,2009",20090328,2009,3,28,12:16 AM,0,16,4th,"4th and Howard, San Francisco, CA",0,X,Howard,BICYCLE,bike1,small_green,AUTO,car,,21457A,1,0,NO,,South Of Market,21457A,Flashing Signals
90098980,"Tue., Mar. 31,2009",20090331,2009,3,31,5:30 PM,17,30,3rd,"3rd and Harrison, San Francisco, CA",150,N,Harrison,BICYCLE,bike1,small_green,AUTO,car,,21703,1,0,NO,,South Of Market,21703,Following Too Closely
90607569,"Tue., Mar. 31,2009",20090331,2009,3,31,11:45 AM,11,45,Folsom,"Folsom and 3rd, San Francisco, CA",199,W,3rd,BICYCLE,bike1,small_green,AUTO (PKD),car-parked,,22350,1,0,NO,,Financial District,22350,Basic Speed Law
90337960,"Tue., Mar. 31,2009",20090331,2009,3,31,6:50 PM,18,50,Townsend,"Townsend and 6th, San Francisco, CA",212,E,6th,BICYCLE,bike1,small_green,AUTO (PKD),car-parked,,22350,1,0,NO,,South Of Market,22350,Basic Speed Law
90285864,"Fri., Apr. 03,2009",20090403,2009,4,3,4:05 PM,16,5,2nd,"2nd and Townsend, San Francisco, CA",89,S,Townsend,BICYCLE,bike1,small_green,AUTO (PKD),car-parked,,22350,0,0,YES,,South Of Market,22350,Basic Speed Law
90659770,"Fri., Apr. 03,2009",20090403,2009,4,3,6:38 PM,18,38,Howard,"Howard and 8th, San Francisco, CA",4,W,8th,BICYCLE,bike1,small_green,BICYCLE,bike2,,21755,1,0,NO,,South Of Market,21755,Pass on Right Safely
91220055,"Sat., Apr. 04,2009",20090404,2009,4,4,9:30 AM,9,30,Market,"Market and Van Ness, San Francisco, CA",21,E,Van Ness,BICYCLE,bike1,small_green,BICYCLE,bike2,,22107,1,0,NO,,Downtown,22107,Turning Movements and Required Signals
91209134,"Mon., Apr. 06,2009",20090406,2009,4,6,1:58 PM,13,58,Market,"Market and Montgomery, San Francisco, CA",40,W,Montgomery,BICYCLE,bike1,small_green,BUS (OTHER),bus,,22107,1,0,NO,,Financial District,22107,Turning Movements and Required Signals
91134707,"Wed., Apr. 08,2009",20090408,2009,4,8,5:26 PM,17,26,Market,"Market and Sutter, San Francisco, CA",84,W,Sutter,BICYCLE,bike1,small_green,FIXED OBJECT,fixed-object,,21208B,1,0,NO,,Financial District,21208B,Permitted Movements from Bicycle Lanes
90540787,"Fri., Apr. 10,2009",20090410,2009,4,10,12:30 PM,12,30,6th,"6th and Clara, San Francisco, CA",72,N,Clara,BICYCLE,bike1,small_green,FIXED OBJECT,fixed-object,,OTD,1,0,NO,,South Of Market,,
91107732,"Fri., Apr. 10,2009",20090410,2009,4,10,1:19 PM,13,19,Market,"Market and Drumm, San Francisco, CA",0,E,Drumm,BICYCLE,bike1,small_green,FIXED OBJECT,fixed-object,,OTD,1,0,NO,,Financial District,,
91160586,"Sat., Apr. 11,2009",20090411,2009,4,11,7:41 PM,19,41,Market,"Market and 7th, San Francisco, CA",10,W,7th,BICYCLE,bike1,small_green,FIXED OBJECT,fixed-object,,OTD,1,0,NO,,Downtown,,
91241647,"Sat., Apr. 11,2009",20090411,2009,4,11,2:35 PM,14,35,Market,"Market and 5th, San Francisco, CA",295,E,5th,BICYCLE,bike1,small_green,FIXED OBJECT,fixed-object,,OTD,1,0,NO,,Downtown,,
90476580,"Sun., Apr. 12,2009",20090412,2009,4,12,3:19 PM,15,19,5th,"5th and Harrison, San Francisco, CA",0,X,Harrison,BICYCLE,bike1,small_green,PEDESTRIAN,pedestrian,,21650.1,1,0,NO,,South Of Market,21650.1,Right Side of Roadway
90066692,"Sun., Apr. 12,2009",20090412,2009,4,12,7:57 AM,7,57,Embarcadero,"Embarcadero and Market, San Francisco, CA",325,N,Market,BICYCLE,bike1,small_green,PEDESTRIAN,pedestrian,,21950A,1,0,YES,,,21950A,Right-of-Way at Crosswalks
90614956,"Tue., Apr. 14,2009",20090414,2009,4,14,5:23 PM,17,23,Mission,"Mission and 3rd, San Francisco, CA",9,W,3rd,BICYCLE,bike1,small_green,PEDESTRIAN,pedestrian,,21950A,1,0,NO,,Financial District,21950A,Right-of-Way at Crosswalks
91115274,"Tue., Apr. 14,2009",20090414,2009,4,14,2:32 PM,14,32,Market,"Market and Powell, San Francisco, CA",45,E,Powell,BICYCLE,bike1,small_green,TAXI,taxi,,21658A,1,0,NO,,Western Addition,21658A,Laned Roadways
91284299,"Sat., Apr. 18,2009",20090418,2009,4,18,1:18 PM,13,18,Market,"Market and New Montgomery, San Francisco, CA",71,W,New Montgomery,BICYCLE,bike1,small_green,TAXI,taxi,,21755,1,0,NO,,Financial District,21755,Pass on Right Safely
90077354,"Sun., Apr. 19,2009",20090419,2009,4,19,6:50 PM,18,50,Duboce,"Duboce and Valencia, San Francisco, CA",0,X,Valencia,BICYCLE,bike1,small_green,TAXI,taxi,,22107,1,0,NO,,Mission,22107,Turning Movements and Required Signals
91067233,"Mon., Apr. 20,2009",20090420,2009,4,20,8:48 AM,8,48,Division,"Division and Henry Adams, San Francisco, CA",12,N,Henry Adams,BICYCLE,bike1,small_green,TAXI,taxi,,22107,1,0,NO,,South Of Market,22107,Turning Movements and Required Signals
91078791,"Tue., Apr. 21,2009",20090421,2009,4,21,11:51 AM,11,51,5th,"5th and Brannan, San Francisco, CA",195,N,Brannan,BICYCLE,bike1,small_green,TRK/TRK TRAC,truck,,21755,1,0,NO,,South Of Market,21755,Pass on Right Safely
90600074,"Tue., Apr. 21,2009",20090421,2009,4,21,9:55 AM,9,55,2nd,"2nd and De Boom, San Francisco, CA",0,X,De Boom,BICYCLE,bike1,small_green,TRK/TRK TRAC,truck,,21208,0,0,NO,,South Of Market,21208,Permitted Movements from Bicycle Lanes
91086578,"Thu., Apr. 23,2009",20090423,2009,4,23,4:55 PM,16,55,11th,"11th and Howard, San Francisco, CA",0,X,Howard,BICYCLE,bike1,small_green,PEDESTRIAN,pedestrian,AUTO,21453A,1,0,YES,,South Of Market,21453A,Circular Red or Red Arrow
91085859,"Sat., Apr. 25,2009",20090425,2009,4,25,3:00 PM,15,0,Mission,"Mission and New Montgomery, San Francisco, CA",17,E,New Montgomery,BICYCLE,bike1,small_green,PEDESTRIAN,pedestrian,PEDESTRIAN,21453A,1,0,NO,,Financial District,21453A,Circular Red or Red Arrow
91177280,"Sun., May. 03,2009",20090503,2009,5,3,3:40 PM,15,40,Jennings,"Jennings and Fitzgerald, San Francisco, CA",9,N,Fitzgerald,BICYCLE,bike1,small_green,AUTO,car,,21201,1,0,NO,,Bayview,21201,Equipment Requirements
90358386,"Wed., May. 06,2009",20090506,2009,5,6,6:54 AM,6,54,3rd,"3rd and 16th, San Francisco, CA",4,S,16th,BICYCLE,bike1,small_green,AUTO,car,,21453A,1,0,NO,,South Of Market,21453A,Circular Red or Red Arrow
90721664,"Thu., May. 07,2009",20090507,2009,5,7,6:40 PM,18,40,Army,"Army and Evans, San Francisco, CA",491,W,Evans,BICYCLE,bike1,small_green,AUTO,car,,21650.1,1,0,NO,,South Of Market,21650.1,Right Side of Roadway
90310568,"Tue., May. 12,2009",20090512,2009,5,12,7:19 PM,19,19,Revere,"Revere and 3rd, San Francisco, CA",194,E,3rd,BICYCLE,bike1,small_green,AUTO,car,,21804,1,0,NO,,Bayview,21804,Entry Onto Highway
90461973,"Wed., May. 13,2009",20090513,2009,5,13,3:10 PM,15,10,Silver,"Silver and Bayshore, San Francisco, CA",10,E,Bayshore,BICYCLE,bike1,small_green,AUTO,car,,21663,1,0,NO,,Bayview,21663,Driving on Sidewalk
90121252,"Wed., May. 13,2009",20090513,2009,5,13,6:24 PM,18,24,Evans,"Evans and Selby, San Francisco, CA",100,W,Selby,BICYCLE,bike1,small_green,AUTO (PKD),car-parked,,22350,1,0,NO,,Bayview,22350,Basic Speed Law
90865836,"Thu., May. 14,2009",20090514,2009,5,14,8:55 PM,20,55,Bayshore,"Bayshore and Army, San Francisco, CA",169,S,Army,BICYCLE,bike1,small_green,BICYCLE,bike2,,UNK,1,0,NO,,South Of Market,,
90967993,"Fri., May. 15,2009",20090515,2009,5,15,2:10 PM,14,10,20th,"20th and Missouri, San Francisco, CA",0,X,Missouri,BICYCLE,bike1,small_green,TRK/TRK TRAC,truck,,21650.1,1,0,NO,,Potrero Hill,21650.1,Right Side of Roadway
90274986,"Sat., May. 16,2009",20090516,2009,5,16,8:27 AM,8,27,3rd,"3rd and 16th, San Francisco, CA",0,X,16th,BICYCLE,bike1,small_green,TRK/TRK TRAC,truck,,22101,1,0,NO,,South Of Market,22101,Regulation of Turns at Intersection
91106530,"Sun., May. 17,2009",20090517,2009,5,17,10:41 AM,10,41,Potrero,"Potrero and 21st, San Francisco, CA",10,S,21st,BICYCLE,bike1,small_green,,blank,,22350,1,0,NO,,Mission,22350,Basic Speed Law
90242046,"Sun., May. 17,2009",20090517,2009,5,17,10:14 AM,10,14,21st,"21st and Valencia, San Francisco, CA",165,E,Valencia,BICYCLE,bike1,small_green,,blank,,UNK,1,0,NO,,Mission,,
91293557,"Sun., May. 17,2009",20090517,2009,5,17,7:45 AM,7,45,Castro,"Castro and Market, San Francisco, CA",130,S,Market,BICYCLE,bike1,small_green,,blank,,UNK,1,0,NO,,Mission,,
90383430,"Sun., May. 17,2009",20090517,2009,5,17,7:51 PM,19,51,Mission,"Mission and 17th, San Francisco, CA",10,N,17th,BICYCLE,bike1,small_green,,blank,,22350,1,0,NO,,Mission,22350,Basic Speed Law
90669569,"Sun., May. 17,2009",20090517,2009,5,17,11:55 AM,11,55,18th,"18th and Valencia, San Francisco, CA",0,X,Valencia,BICYCLE,bike1,small_green,AUTO,car,,21453A,2,0,YES,,Mission,21453A,Circular Red or Red Arrow
90255196,"Sun., May. 17,2009",20090517,2009,5,17,9:06 PM,21,6,16th,"16th and Church, San Francisco, CA",0,X,Church,BICYCLE,bike1,small_green,AUTO,car,,21201B,1,0,NO,,Castro-Upper Market,21201B,Equipment Requirements
91159341,"Tue., May. 19,2009",20090519,2009,5,19,2:27 PM,14,27,Folsom,"Folsom and 20th, San Francisco, CA",6,N,20th,BICYCLE,bike1,small_green,AUTO,car,,21453B,1,0,NO,,Mission,21453B,Circular Red or Red Arrow
90735079,"Wed., May. 20,2009",20090520,2009,5,20,6:31 PM,18,31,22nd,"22nd and Capp, San Francisco, CA",9,W,Capp,BICYCLE,bike1,small_green,AUTO,car,,21650.1,1,0,NO,,Mission,21650.1,Right Side of Roadway
91176389,"Thu., May. 21,2009",20090521,2009,5,21,11:09 AM,11,9,15th,"15th and Albion, San Francisco, CA",0,X,Albion,BICYCLE,bike1,small_green,AUTO,car,,21650.1,1,0,NO,,Mission,21650.1,Right Side of Roadway
91088916,"Mon., May. 25,2009",20090525,2009,5,25,11:25 AM,11,25,24th,"24th and Florida, San Francisco, CA",0,X,Florida,BICYCLE,bike1,small_green,AUTO,car,,21658A,1,0,YES,,Mission,21658A,Laned Roadways
91013866,"Tue., May. 26,2009",20090526,2009,5,26,3:35 PM,15,35,Mission,"Mission and 15th, San Francisco, CA",233,N,15th,BICYCLE,bike1,small_green,AUTO,car,,21751,1,0,NO,,Mission,21751,Passing Without Sufficient Clearance
90719540,"Tue., May. 26,2009",20090526,2009,5,26,10:00 AM,10,0,14th,"14th and Market, San Francisco, CA",0,X,Market,BICYCLE,bike1,small_green,AUTO,car,,21801A,1,0,NO,,Castro-Upper Market,21801A,Left-Turn or U-Turn
90335243,"Wed., May. 27,2009",20090527,2009,5,27,9:10 AM,9,10,16th,"16th and Guerrero, San Francisco, CA",113,W,Guerrero,BICYCLE,bike1,small_green,AUTO,car,,21804,1,0,NO,,Mission,21804,Entry Onto Highway
90638837,"Thu., May. 28,2009",20090528,2009,5,28,4:32 PM,16,32,Florida,"Florida and 26th, San Francisco, CA",172,N,26th,BICYCLE,bike1,small_green,AUTO,car,,21804,1,0,NO,,Mission,21804,Entry Onto Highway
90847066,"Sat., May. 30,2009",20090530,2009,5,30,8:12 AM,8,12,Market,"Market and 14th, San Francisco, CA",20,E,14th,BICYCLE,bike1,small_green,AUTO,car,,22100B,1,0,NO,,Castro-Upper Market,22100B,Turning Upon a Highway
91039856,"Tue., Jun. 02,2009",20090602,2009,6,2,2:12 PM,14,12,Alabama,"Alabama and 16th, San Francisco, CA",46,N,16th,BICYCLE,bike1,small_green,AUTO,car,,22348C,1,0,NO,,Mission,22348C,Excessive Speed and Designated Lane Use
90256213,"Thu., Jun. 04,2009",20090604,2009,6,4,9:05 AM,9,5,16th,"16th and San Bruno, San Francisco, CA",0,X,San Bruno,BICYCLE,bike1,small_green,AUTO,car,,22350,1,0,NO,,Mission,22350,Basic Speed Law
90575314,"Fri., Jun. 05,2009",20090605,2009,6,5,1:03 PM,13,3,14th,"14th and Valencia, San Francisco, CA",68,E,Valencia,BICYCLE,bike1,small_green,AUTO,car,,22350,1,0,NO,,Mission,22350,Basic Speed Law
90706246,"Sat., Jun. 06,2009",20090606,2009,6,6,7:11 PM,19,11,22nd,"22nd and Guerrero, San Francisco, CA",0,X,Guerrero,BICYCLE,bike1,small_green,AUTO,car,,22350,1,0,NO,,Mission,22350,Basic Speed Law
91066558,"Sat., Jun. 06,2009",20090606,2009,6,6,9:35 PM,21,35,25th,"25th and Folsom, San Francisco, CA",0,X,Folsom,BICYCLE,bike1,small_green,AUTO,car,,22450,1,0,NO,,Mission,22450,Stop Requirements
90971643,"Mon., Jun. 08,2009",20090608,2009,6,8,12:46 PM,12,46,Valencia,"Valencia and Sycamore, San Francisco, CA",34,S,Sycamore,BICYCLE,bike1,small_green,AUTO,car,,21650.1,1,0,NO,,Mission,21650.1,Right Side of Roadway
90512849,"Tue., Jun. 09,2009",20090609,2009,6,9,11:59 AM,11,59,Bryant,"Bryant and Division, San Francisco, CA",0,X,Division,BICYCLE,bike1,small_green,AUTO,car,,UNK,0,0,NO,,South Of Market,,
